,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
15807,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:18,47.40948642082203,17,True,RSSI
15808,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:19,47.40948642082203,17,True,RSSI
15809,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:20,47.40948642082203,17,True,RSSI
15810,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:21,47.40948642082203,17,True,RSSI
15811,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:22,47.40948642082203,17,True,RSSI
15812,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:23,47.40948642082203,17,True,RSSI
15813,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:24,47.40948642082203,17,True,RSSI
15814,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:25,47.40948642082203,17,True,RSSI
15815,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:26,47.40948642082203,17,True,RSSI
15816,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:28,47.40948642082203,17,True,RSSI
15817,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:29,47.40948642082203,17,True,RSSI
15818,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:30,47.40948642082203,17,True,RSSI
15819,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:31,47.40948642082203,17,True,RSSI
15820,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:32,47.40948642082203,17,True,RSSI
15821,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:33,47.40948642082203,17,True,RSSI
15822,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:34,47.40948642082203,17,True,RSSI
15823,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:35,47.40948642082203,17,True,RSSI
15824,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:36,47.40948642082203,17,True,RSSI
15825,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:37,47.40948642082203,17,True,RSSI
15826,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:39,47.40948642082203,17,True,RSSI
15827,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:40,47.40948642082203,17,True,RSSI
15828,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:41,47.40948642082203,17,True,RSSI
15829,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:42,47.40948642082203,17,True,RSSI
15830,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:43,47.40948642082203,17,True,RSSI
15831,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:44,47.40948642082203,17,True,RSSI
15832,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:45,47.40948642082203,17,True,RSSI
15833,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:46,47.40948642082203,17,True,RSSI
15834,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:47,47.40948642082203,17,True,RSSI
15835,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:49,47.40948642082203,17,True,RSSI
15836,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:50,47.40948642082203,17,True,RSSI
15837,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:51,47.40948642082203,17,True,RSSI
15838,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:52,47.40948642082203,17,True,RSSI
15839,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:53,47.40948642082203,17,True,RSSI
15840,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:54,47.40948642082203,17,True,RSSI
15841,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:55,47.40948642082203,17,True,RSSI
15842,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:56,47.40948642082203,17,True,RSSI
15843,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:57,47.40948642082203,17,True,RSSI
15844,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:13:58,47.40948642082203,17,True,RSSI
15845,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:14:00,47.40948642082203,17,True,RSSI
15846,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:14:01,47.40948642082203,17,True,RSSI
15847,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:14:02,47.40948642082203,17,True,RSSI
15848,dc:a6:32:26:67:ab,18.434347,34.73591,40,-62,2022-07-14T12:12:32.700+0100,2022-07-14 12:14:03,47.40948642082203,17,True,RSSI
15849,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:04,41.57179489699847,17,True,RSSI
15850,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:05,41.57179489699847,17,True,RSSI
15851,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:06,41.57179489699847,17,True,RSSI
15852,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:07,41.57179489699847,17,True,RSSI
15853,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:08,41.57179489699847,17,True,RSSI
15854,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:09,41.57179489699847,17,True,RSSI
15855,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:10,41.57179489699847,17,True,RSSI
15856,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:12,41.57179489699847,17,True,RSSI
15857,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:13,41.57179489699847,17,True,RSSI
15858,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:14,41.57179489699847,17,True,RSSI
15859,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:15,41.57179489699847,17,True,RSSI
15860,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:16,41.57179489699847,17,True,RSSI
15861,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:17,41.57179489699847,17,True,RSSI
15862,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:18,41.57179489699847,17,True,RSSI
15863,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:19,41.57179489699847,17,True,RSSI
15864,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:20,41.57179489699847,17,True,RSSI
15865,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:21,41.57179489699847,17,True,RSSI
15866,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:22,41.57179489699847,17,True,RSSI
15867,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:23,41.57179489699847,17,True,RSSI
15868,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:25,41.57179489699847,17,True,RSSI
15869,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:26,41.57179489699847,17,True,RSSI
15870,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:27,41.57179489699847,17,True,RSSI
15871,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:28,41.57179489699847,17,True,RSSI
15872,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:29,41.57179489699847,17,True,RSSI
15873,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:30,41.57179489699847,17,True,RSSI
15874,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:31,41.57179489699847,17,True,RSSI
15875,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:32,41.57179489699847,17,True,RSSI
15876,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:33,41.57179489699847,17,True,RSSI
15877,dc:a6:32:26:67:ab,39.169044,7.2962537,56,-74,2022-07-14T12:14:04.139+0100,2022-07-14 12:14:34,41.57179489699847,17,True,RSSI
