,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point
2752,dc:a6:32:26:67:ab,0.0,12.577143,96,-54,2022-07-08T14:53:14.145+0100,2022-07-08 14:53:14,18.949404028848218,3
2753,dc:a6:32:26:67:ab,0.0,12.577143,96,-54,2022-07-08T14:53:14.145+0100,2022-07-08 14:53:15,18.949404028848218,3
2754,dc:a6:32:26:67:ab,0.0,12.577143,88,-54,2022-07-08T14:53:16.154+0100,2022-07-08 14:53:16,18.949404028848218,3
2755,dc:a6:32:26:67:ab,0.0,12.577143,88,-54,2022-07-08T14:53:16.154+0100,2022-07-08 14:53:17,18.949404028848218,3
2756,dc:a6:32:26:67:ab,3.6945295,19.752594,80,-54,2022-07-08T14:53:18.166+0100,2022-07-08 14:53:19,11.448865319393285,3
2757,dc:a6:32:26:67:ab,5.157526,18.744068,80,-54,2022-07-08T14:53:20.160+0100,2022-07-08 14:53:20,10.942773795919388,3
2758,dc:a6:32:26:67:ab,5.157526,18.744068,80,-54,2022-07-08T14:53:20.160+0100,2022-07-08 14:53:21,10.942773795919388,3
2759,dc:a6:32:26:67:ab,6.5150337,18.722795,88,-53,2022-07-08T14:53:22.180+0100,2022-07-08 14:53:22,10.013961448542563,3
2760,dc:a6:32:26:67:ab,6.5150337,18.722795,88,-53,2022-07-08T14:53:22.180+0100,2022-07-08 14:53:23,10.013961448542563,3
2761,dc:a6:32:26:67:ab,4.9033012,18.792898,88,-56,2022-07-08T14:53:24.201+0100,2022-07-08 14:53:24,11.096343049993608,3
2762,dc:a6:32:26:67:ab,4.9033012,18.792898,88,-56,2022-07-08T14:53:24.201+0100,2022-07-08 14:53:25,11.096343049993608,3
2763,dc:a6:32:26:67:ab,1.6242002,19.841423,88,-55,2022-07-08T14:53:26.247+0100,2022-07-08 14:53:26,13.16276968438425,3
2764,dc:a6:32:26:67:ab,1.6242002,19.841423,88,-55,2022-07-08T14:53:26.247+0100,2022-07-08 14:53:27,13.16276968438425,3
2765,dc:a6:32:26:67:ab,0.0,18.865715,104,-54,2022-07-08T14:53:28.306+0100,2022-07-08 14:53:28,15.056620221670764,3
2766,dc:a6:32:26:67:ab,0.0,18.865715,104,-54,2022-07-08T14:53:28.306+0100,2022-07-08 14:53:29,15.056620221670764,3
2767,dc:a6:32:26:67:ab,0.0,12.577143,112,-54,2022-07-08T14:53:30.336+0100,2022-07-08 14:53:30,18.949404028848218,3
2768,dc:a6:32:26:67:ab,0.0,12.577143,112,-54,2022-07-08T14:53:30.336+0100,2022-07-08 14:53:31,18.949404028848218,3
2769,dc:a6:32:26:67:ab,0.0,12.577143,88,-54,2022-07-08T14:53:32.343+0100,2022-07-08 14:53:33,18.949404028848218,3
2770,dc:a6:32:26:67:ab,0.0,12.577143,88,-54,2022-07-08T14:53:32.343+0100,2022-07-08 14:53:34,18.949404028848218,3
2771,dc:a6:32:26:67:ab,6.8688073,4.6850104,88,-54,2022-07-08T14:53:34.352+0100,2022-07-08 14:53:35,22.45054009042565,3
2772,dc:a6:32:26:67:ab,6.8688073,4.6850104,88,-54,2022-07-08T14:53:34.352+0100,2022-07-08 14:53:36,22.45054009042565,3
2773,dc:a6:32:26:67:ab,22.161413,10.286095,88,-56,2022-07-08T14:53:36.375+0100,2022-07-08 14:53:37,18.3419724245086,3
2774,dc:a6:32:26:67:ab,37.308544,6.247354,80,-54,2022-07-08T14:53:38.405+0100,2022-07-08 14:53:38,31.383080879923376,3
2775,dc:a6:32:26:67:ab,37.308544,6.247354,80,-54,2022-07-08T14:53:38.405+0100,2022-07-08 14:53:39,31.383080879923376,3
2776,dc:a6:32:26:67:ab,43.709465,5.6911664,80,-56,2022-07-08T14:53:40.434+0100,2022-07-08 14:53:40,36.85160244648119,3
2777,dc:a6:32:26:67:ab,43.709465,5.6911664,80,-56,2022-07-08T14:53:40.434+0100,2022-07-08 14:53:41,36.85160244648119,3
2778,dc:a6:32:26:67:ab,50.0552,6.6985297,88,-53,2022-07-08T14:53:42.456+0100,2022-07-08 14:53:42,41.78627226483136,3
2779,dc:a6:32:26:67:ab,50.0552,6.6985297,88,-53,2022-07-08T14:53:42.456+0100,2022-07-08 14:53:43,41.78627226483136,3
2780,dc:a6:32:26:67:ab,55.793953,6.953974,80,-54,2022-07-08T14:53:44.526+0100,2022-07-08 14:53:44,46.82936637615509,3
2781,dc:a6:32:26:67:ab,55.793953,6.953974,80,-54,2022-07-08T14:53:44.526+0100,2022-07-08 14:53:45,46.82936637615509,3
2782,dc:a6:32:26:67:ab,58.8428,0.0,80,-55,2022-07-08T14:53:46.653+0100,2022-07-08 14:53:47,52.71771528311901,3
2783,dc:a6:32:26:67:ab,58.8428,0.0,80,-55,2022-07-08T14:53:46.653+0100,2022-07-08 14:53:48,52.71771528311901,3
