,macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point
1648,dc:a6:32:26:67:ab,26.899147,33.716446,80,-56,2022-07-08T13:53:20.665+0100,2022-07-08 13:53:22,24.775945965245505,2
1649,dc:a6:32:26:67:ab,36.416668,44.02,88,-56,2022-07-08T13:53:22.707+0100,2022-07-08 13:53:23,38.69341753932397,2
1650,dc:a6:32:26:67:ab,36.416668,44.02,88,-56,2022-07-08T13:53:22.707+0100,2022-07-08 13:53:24,38.69341753932397,2
1651,dc:a6:32:26:67:ab,33.4923,32.482647,80,-56,2022-07-08T13:53:24.753+0100,2022-07-08 13:53:25,28.10116919047977,2
1652,dc:a6:32:26:67:ab,33.4923,32.482647,80,-56,2022-07-08T13:53:24.753+0100,2022-07-08 13:53:26,28.10116919047977,2
1653,dc:a6:32:26:67:ab,32.18084,32.269676,80,-56,2022-07-08T13:53:26.772+0100,2022-07-08 13:53:27,27.01423625280301,2
1654,dc:a6:32:26:67:ab,30.485703,22.564333,80,-55,2022-07-08T13:53:28.786+0100,2022-07-08 13:53:28,19.76317094082774,2
1655,dc:a6:32:26:67:ab,30.485703,22.564333,80,-55,2022-07-08T13:53:28.786+0100,2022-07-08 13:53:29,19.76317094082774,2
1656,dc:a6:32:26:67:ab,31.380219,21.514673,80,-56,2022-07-08T13:53:30.795+0100,2022-07-08 13:53:31,20.09295982203344,2
1657,dc:a6:32:26:67:ab,31.380219,21.514673,80,-56,2022-07-08T13:53:30.795+0100,2022-07-08 13:53:32,20.09295982203344,2
1658,dc:a6:32:26:67:ab,33.657204,25.384285,80,-56,2022-07-08T13:53:32.904+0100,2022-07-08 13:53:33,23.915874043654792,2
1659,dc:a6:32:26:67:ab,33.657204,25.384285,80,-56,2022-07-08T13:53:32.904+0100,2022-07-08 13:53:34,23.915874043654792,2
1660,dc:a6:32:26:67:ab,36.640625,34.801765,88,-56,2022-07-08T13:53:34.921+0100,2022-07-08 13:53:35,31.984605616206217,2
1661,dc:a6:32:26:67:ab,36.640625,34.801765,88,-56,2022-07-08T13:53:34.921+0100,2022-07-08 13:53:36,31.984605616206217,2
1662,dc:a6:32:26:67:ab,39.381836,38.75517,88,-55,2022-07-08T13:53:36.958+0100,2022-07-08 13:53:37,36.69464873409577,2
1663,dc:a6:32:26:67:ab,39.381836,38.75517,88,-55,2022-07-08T13:53:36.958+0100,2022-07-08 13:53:38,36.69464873409577,2
1664,dc:a6:32:26:67:ab,43.7,44.02,80,-55,2022-07-08T13:53:38.965+0100,2022-07-08 13:53:39,43.468762082433415,2
1665,dc:a6:32:26:67:ab,43.7,44.02,80,-55,2022-07-08T13:53:38.965+0100,2022-07-08 13:53:40,43.468762082433415,2
1666,dc:a6:32:26:67:ab,43.7,44.02,80,-56,2022-07-08T13:53:40.988+0100,2022-07-08 13:53:41,43.468762082433415,2
1667,dc:a6:32:26:67:ab,43.7,44.02,80,-56,2022-07-08T13:53:40.988+0100,2022-07-08 13:53:42,43.468762082433415,2
1668,dc:a6:32:26:67:ab,43.7,44.02,88,-55,2022-07-08T13:53:43.026+0100,2022-07-08 13:53:44,43.468762082433415,2
1669,dc:a6:32:26:67:ab,38.756912,39.600258,80,-55,2022-07-08T13:53:45.051+0100,2022-07-08 13:53:45,36.85247774355352,2
1670,dc:a6:32:26:67:ab,38.756912,39.600258,80,-55,2022-07-08T13:53:45.051+0100,2022-07-08 13:53:46,36.85247774355352,2
1671,dc:a6:32:26:67:ab,39.76026,36.56703,80,-55,2022-07-08T13:53:47.063+0100,2022-07-08 13:53:47,35.484223320778774,2
1672,dc:a6:32:26:67:ab,39.76026,36.56703,80,-55,2022-07-08T13:53:47.063+0100,2022-07-08 13:53:48,35.484223320778774,2
1673,dc:a6:32:26:67:ab,38.07534,37.93265,80,-56,2022-07-08T13:53:49.074+0100,2022-07-08 13:53:49,35.18667611787877,2
1674,dc:a6:32:26:67:ab,38.07534,37.93265,80,-56,2022-07-08T13:53:49.074+0100,2022-07-08 13:53:50,35.18667611787877,2
1675,dc:a6:32:26:67:ab,35.57526,38.51588,80,-55,2022-07-08T13:53:51.129+0100,2022-07-08 13:53:51,33.89495368871892,2
1676,dc:a6:32:26:67:ab,35.57526,38.51588,80,-55,2022-07-08T13:53:51.129+0100,2022-07-08 13:53:52,33.89495368871892,2
1677,dc:a6:32:26:67:ab,36.86499,37.163174,88,-56,2022-07-08T13:53:53.136+0100,2022-07-08 13:53:53,33.787240967730646,2
1678,dc:a6:32:26:67:ab,36.86499,37.163174,88,-56,2022-07-08T13:53:53.136+0100,2022-07-08 13:53:54,33.787240967730646,2
1679,dc:a6:32:26:67:ab,39.40119,32.467163,80,-55,2022-07-08T13:53:55.153+0100,2022-07-08 13:53:56,32.62984927963519,2
1680,dc:a6:32:26:67:ab,39.40119,32.467163,80,-55,2022-07-08T13:53:55.153+0100,2022-07-08 13:53:57,32.62984927963519,2
1681,dc:a6:32:26:67:ab,38.140602,35.679955,80,-55,2022-07-08T13:53:57.148+0100,2022-07-08 13:53:58,33.68474989191087,2
1682,dc:a6:32:26:67:ab,39.37992,24.797144,80,-55,2022-07-08T13:53:59.214+0100,2022-07-08 13:53:59,28.734720738372523,2
1683,dc:a6:32:26:67:ab,39.37992,24.797144,80,-55,2022-07-08T13:53:59.214+0100,2022-07-08 13:54:00,28.734720738372523,2
1684,dc:a6:32:26:67:ab,33.399918,15.256767,80,-56,2022-07-08T13:54:01.228+0100,2022-07-08 13:54:01,20.388482772266627,2
1685,dc:a6:32:26:67:ab,33.399918,15.256767,80,-56,2022-07-08T13:54:01.228+0100,2022-07-08 13:54:02,20.388482772266627,2
1686,dc:a6:32:26:67:ab,26.266087,15.594363,80,-56,2022-07-08T13:54:03.256+0100,2022-07-08 13:54:03,13.372999993364914,2
1687,dc:a6:32:26:67:ab,26.266087,15.594363,80,-56,2022-07-08T13:54:03.256+0100,2022-07-08 13:54:04,13.372999993364914,2
1688,dc:a6:32:26:67:ab,18.285538,15.989001,80,-55,2022-07-08T13:54:05.266+0100,2022-07-08 13:54:05,5.904234077724645,2
1689,dc:a6:32:26:67:ab,18.285538,15.989001,80,-55,2022-07-08T13:54:05.266+0100,2022-07-08 13:54:06,5.904234077724645,2
1690,dc:a6:32:26:67:ab,16.351046,11.9945,80,-54,2022-07-08T13:54:07.271+0100,2022-07-08 13:54:07,3.4193978730466568,2
1691,dc:a6:32:26:67:ab,16.351046,11.9945,80,-54,2022-07-08T13:54:07.271+0100,2022-07-08 13:54:08,3.4193978730466568,2
1692,dc:a6:32:26:67:ab,14.47968,10.346881,80,-54,2022-07-08T13:54:09.307+0100,2022-07-08 13:54:09,3.0900549477057853,2
1693,dc:a6:32:26:67:ab,14.47968,10.346881,80,-54,2022-07-08T13:54:09.307+0100,2022-07-08 13:54:10,3.0900549477057853,2
1694,dc:a6:32:26:67:ab,20.504185,17.653282,80,-55,2022-07-08T13:54:11.309+0100,2022-07-08 13:54:12,8.660067609823205,2
1695,dc:a6:32:26:67:ab,20.504185,17.653282,80,-55,2022-07-08T13:54:11.309+0100,2022-07-08 13:54:13,8.660067609823205,2
1696,dc:a6:32:26:67:ab,19.617413,17.262403,80,-56,2022-07-08T13:54:13.375+0100,2022-07-08 13:54:14,7.70093509404267,2
1697,dc:a6:32:26:67:ab,21.543573,15.230539,80,-55,2022-07-08T13:54:15.404+0100,2022-07-08 13:54:15,8.679872712396765,2
1698,dc:a6:32:26:67:ab,21.543573,15.230539,80,-55,2022-07-08T13:54:15.404+0100,2022-07-08 13:54:16,8.679872712396765,2
1699,dc:a6:32:26:67:ab,18.72413,15.964659,80,-56,2022-07-08T13:54:17.452+0100,2022-07-08 13:54:17,6.280255138153304,2
1700,dc:a6:32:26:67:ab,18.72413,15.964659,80,-56,2022-07-08T13:54:17.452+0100,2022-07-08 13:54:18,6.280255138153304,2
1701,dc:a6:32:26:67:ab,11.507906,19.095516,80,-57,2022-07-08T13:54:19.458+0100,2022-07-08 13:54:19,6.186787447007696,2
1702,dc:a6:32:26:67:ab,11.507906,19.095516,80,-57,2022-07-08T13:54:19.458+0100,2022-07-08 13:54:20,6.186787447007696,2
1703,dc:a6:32:26:67:ab,2.3455455,12.0164175,80,-57,2022-07-08T13:54:21.507+0100,2022-07-08 13:54:21,10.834510007135371,2
1704,dc:a6:32:26:67:ab,2.3455455,12.0164175,80,-57,2022-07-08T13:54:21.507+0100,2022-07-08 13:54:23,10.834510007135371,2
1705,dc:a6:32:26:67:ab,0.0,12.577143,80,-56,2022-07-08T13:54:23.562+0100,2022-07-08 13:54:24,13.13472233055153,2
1706,dc:a6:32:26:67:ab,0.0,12.577143,80,-56,2022-07-08T13:54:23.562+0100,2022-07-08 13:54:25,13.13472233055153,2
1707,dc:a6:32:26:67:ab,0.0,18.865715,88,-56,2022-07-08T13:54:25.597+0100,2022-07-08 13:54:26,14.32470658113544,2
1708,dc:a6:32:26:67:ab,0.0,18.865715,88,-56,2022-07-08T13:54:25.597+0100,2022-07-08 13:54:27,14.32470658113544,2
1709,dc:a6:32:26:67:ab,0.0,18.865715,96,-56,2022-07-08T13:54:27.610+0100,2022-07-08 13:54:28,14.32470658113544,2
1710,dc:a6:32:26:67:ab,0.0,18.865715,96,-56,2022-07-08T13:54:27.610+0100,2022-07-08 13:54:29,14.32470658113544,2
1711,dc:a6:32:26:67:ab,0.0,12.577143,80,-57,2022-07-08T13:54:29.707+0100,2022-07-08 13:54:30,13.13472233055153,2
1712,dc:a6:32:26:67:ab,4.3918867,11.121719,80,-57,2022-07-08T13:54:31.710+0100,2022-07-08 13:54:31,8.957968111212157,2
1713,dc:a6:32:26:67:ab,4.3918867,11.121719,80,-57,2022-07-08T13:54:31.710+0100,2022-07-08 13:54:32,8.957968111212157,2
1714,dc:a6:32:26:67:ab,5.197265,11.642439,80,-56,2022-07-08T13:54:33.747+0100,2022-07-08 13:54:33,8.06325672152797,2
1715,dc:a6:32:26:67:ab,5.197265,11.642439,80,-56,2022-07-08T13:54:33.747+0100,2022-07-08 13:54:34,8.06325672152797,2
1716,dc:a6:32:26:67:ab,8.986829,10.272584,88,-56,2022-07-08T13:54:35.757+0100,2022-07-08 13:54:35,5.023724964220971,2
1717,dc:a6:32:26:67:ab,8.986829,10.272584,88,-56,2022-07-08T13:54:35.757+0100,2022-07-08 13:54:37,5.023724964220971,2
1718,dc:a6:32:26:67:ab,10.791432,9.395326,80,-56,2022-07-08T13:54:37.769+0100,2022-07-08 13:54:38,4.397286174715036,2
1719,dc:a6:32:26:67:ab,10.791432,9.395326,80,-56,2022-07-08T13:54:37.769+0100,2022-07-08 13:54:39,4.397286174715036,2
1720,dc:a6:32:26:67:ab,9.635346,10.180882,80,-57,2022-07-08T13:54:39.784+0100,2022-07-08 13:54:40,4.5633779642584935,2
1721,dc:a6:32:26:67:ab,9.635346,10.180882,80,-57,2022-07-08T13:54:39.784+0100,2022-07-08 13:54:41,4.5633779642584935,2
1722,dc:a6:32:26:67:ab,11.784182,8.900521,80,-57,2022-07-08T13:54:41.803+0100,2022-07-08 13:54:42,4.430097847181821,2
1723,dc:a6:32:26:67:ab,11.784182,8.900521,80,-57,2022-07-08T13:54:41.803+0100,2022-07-08 13:54:43,4.430097847181821,2
